Character,Frequency
0;1
5;1
F;24
y;80
h;93
ö;63
 ;215
M;17
l;149
p;82
n;13
o;51
ä;60
u;92
k;35
S;24
w;7
t;35
r;21
.;36
I;8
z;48
j;38
c;7
H;4
B;6
A;3
s;30
m;25
ß;12
;17

;17
f;4
:;8
“;8
D;7
!;3
”;8
J;1
,;1
K;8
C;3
é;2
i;13
G;2
T;7
v;20
Z;1
e;1
d;1
O;2
