Character,Frequency
0;1
5;1
F;24
x;80
j;93
ä;63
 ;215
M;17
b;149
d;82
f;13
q;51
z;60
c;92
o;35
S;24
v;7
h;35
s;21
.;36
I;8
y;48
l;38
n;7
H;4
B;6
A;3
t;30
p;25
ü;12
;17

;17
m;4
:;8
“;8
D;7
!;3
”;8
J;1
,;1
K;8
C;3
é;2
k;13
G;2
T;7
u;20
Z;1
g;1
i;1
O;2
